"New Player Note K. Durant PHX - SF,PF",9.1,18.1,0.501,5,2.2,4.8,0.45,25.3,7.2,4.7,0.8,1.1,1.433,1.9
New Player Note D. Lillard MIL - PG,14.6,33.3,0.438,13.5,6.4,18,0.356,49.1,9.9,14,1.9,0.4,2.44,2.6
"New Player Note C. Holmgren OKC - PF,C",17.9,35.1,0.51,9.5,5,13.8,0.363,50.3,25.9,7.5,2.9,6.8,1.263,8.8
"Player Note D. Russell LAL - PG,SG",6.6,13.7,0.479,2.2,2.3,5.7,0.413,17.6,3.6,6.4,0.9,0.5,3.329,2.1
Player Note B. Lopez MIL - C,10,19.9,0.501,3.1,3.8,10.3,0.366,26.8,11.7,2.5,1.5,4.9,1.061,5.8
"Player Note H. Jones NOP - SF,PF 7:00 pm @SAC",6.4,13.6,0.474,3.9,1.8,5.4,0.331,18.5,8,4.6,3,1.7,1.54,6
New Player Note J. Nurkic PHX - C,4.4,9.3,0.47,1.8,0.7,2.6,0.265,11.2,10.6,3.4,1.1,1.3,1.547,3.9
New Player Note C. Anthony ORL - PG,13.7,31.6,0.434,10.5,4.2,11.3,0.37,42.2,13.3,9.6,2.2,1.2,1.684,6.8
Player Note B. Biyombo MEM - C,6.4,11.5,0.558,3.2,0.1,0.2,0.487,16.2,15.9,4.1,1.1,2.7,1.426,6.4
"New Player Note D. Brooks HOU - SG,SF",14,30.1,0.464,6,4.4,10.7,0.414,38.4,9.7,5.8,3,0.3,1.277,10.1
Player Note D. Schroder TOR - PG,16.9,38,0.444,7.8,5.7,15.8,0.358,47.2,8.8,21.6,2.5,0.3,3.944,6.6
"Player Note J. Poole WAS - PG,SG",16.9,43.2,0.392,9.5,5.9,19.9,0.299,49.3,8,10.6,2.8,0.9,1.399,7.7
Player Note M. Smart MEM - PG INJ,5.5,12.6,0.433,1.9,2.1,6.5,0.317,14.8,3.8,6.9,1.8,0.3,2.286,3.3
Player Note D. Rose MEM - PG GTD,10.3,23.2,0.446,3,2.3,6.4,0.363,25.9,5.9,8.6,1.5,0.4,2.51,2.4
Player Note K. Oubre Jr. PHI - SF INJ,13.5,27.4,0.492,4.9,5,13.4,0.373,36.8,11.8,2.4,3,0.9,1.004,5.7
"Player Note D. Finney-Smith BKN - SF,PF,C GTD",13.2,27.6,0.479,0.9,7.5,17.4,0.432,34.9,18.3,5.6,2,1.8,1.606,7.8
"Player Note L. Markkanen UTA - SF,PF INJ",23.7,50.3,0.47,13.4,9.1,24.3,0.373,69.8,26.6,4.3,2.9,2.1,1.086,7.2
"Player Note D. White BOS - PG,SG 4:30 pm @IND",4.9,10.2,0.483,3.9,1.9,4.5,0.42,15.6,4.4,4.9,1,0.8,2.569,2.4
"Player Note A. Thompson HOU - SG,SF INJ",5.8,13,0.444,2.2,0.8,3,0.251,14.4,5.1,5.6,1.4,0.7,1.78,2.8